hhld_id,Street,Accesspt_perstreet_hhld,Main municipality,Energy,Sectors,Approximate consumption (kWh),direction,Consumption year,Regio,Number of Access Points,access_pts_factor,accesspt_location,longitude,latitude
hhld61,HELDENPLEIN,36,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694642534730865, 51.052581656705875]",3.694642534730865,51.052581656705875
hhld62,HELDENPLEIN,37,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946448792412827, 51.052581974159736]",3.6946448792412827,51.052581974159736
hhld63,HELDENPLEIN,38,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946472237517005, 51.052582291613604]",3.6946472237517005,51.052582291613604
hhld64,HELDENPLEIN,39,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946495682621183, 51.052582609067464]",3.6946495682621183,51.052582609067464
hhld65,HELDENPLEIN,40,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694651912772536, 51.05258292652133]",3.694651912772536,51.05258292652133
hhld66,HELDENPLEIN,41,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694654257282954, 51.05258324397519]",3.694654257282954,51.05258324397519
hhld67,HELDENPLEIN,42,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946566017933717, 51.05258356142906]",3.6946566017933717,51.05258356142906
hhld68,HELDENPLEIN,43,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946589463037895, 51.05258387888292]",3.6946589463037895,51.05258387888292
hhld69,HELDENPLEIN,44,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946612908142074, 51.05258419633679]",3.6946612908142074,51.05258419633679
hhld70,HELDENPLEIN,45,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694663635324625, 51.05258451379065]",3.694663635324625,51.05258451379065
hhld71,HELDENPLEIN,46,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694665979835043, 51.052584831244516]",3.694665979835043,51.052584831244516
hhld72,HELDENPLEIN,47,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946683243454608, 51.05258514869838]",3.6946683243454608,51.05258514869838
hhld73,HELDENPLEIN,48,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694670668855878, 51.052585466152244]",3.694670668855878,51.052585466152244
hhld74,HELDENPLEIN,49,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694673013366296, 51.052585783606105]",3.694673013366296,51.052585783606105
hhld75,HELDENPLEIN,50,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946753578767138, 51.05258610105997]",3.6946753578767138,51.05258610105997
hhld76,HELDENPLEIN,51,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946777023871316, 51.05258641851383]",3.6946777023871316,51.05258641851383
hhld77,HELDENPLEIN,52,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946800468975494, 51.052586735967694]",3.6946800468975494,51.052586735967694
hhld78,HELDENPLEIN,53,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694682391407967, 51.05258705342156]",3.694682391407967,51.05258705342156
hhld79,HELDENPLEIN,54,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694684735918385, 51.05258737087542]",3.694684735918385,51.05258737087542
hhld80,HELDENPLEIN,55,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694687080428803, 51.05258768832929]",3.694687080428803,51.05258768832929
hhld81,HELDENPLEIN,56,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946894249392206, 51.05258800578315]",3.6946894249392206,51.05258800578315
hhld82,HELDENPLEIN,57,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946917694496384, 51.05258832323702]",3.6946917694496384,51.05258832323702
hhld83,HELDENPLEIN,58,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694694113960056, 51.05258864069088]",3.694694113960056,51.05258864069088
hhld84,HELDENPLEIN,59,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694696458470474, 51.052588958144746]",3.694696458470474,51.052588958144746
hhld85,HELDENPLEIN,60,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694698802980892, 51.052589275598606]",3.694698802980892,51.052589275598606
hhld86,HELDENPLEIN,61,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6947011474913096, 51.052589593052474]",3.6947011474913096,51.052589593052474
hhld87,HELDENPLEIN,62,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694703492001727, 51.052589910506335]",3.694703492001727,51.052589910506335
hhld88,HELDENPLEIN,63,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694705836512145, 51.0525902279602]",3.694705836512145,51.0525902279602
hhld89,HELDENPLEIN,64,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6947081810225626, 51.05259054541406]",3.6947081810225626,51.05259054541406
hhld90,HELDENPLEIN,65,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6947105255329804, 51.05259086286793]",3.6947105255329804,51.05259086286793
hhld91,HELDENPLEIN,66,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694712870043398, 51.05259118032179]",3.694712870043398,51.05259118032179
hhld92,HELDENPLEIN,67,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694715214553816, 51.05259149777566]",3.694715214553816,51.05259149777566
hhld93,HELDENPLEIN,68,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694717559064234, 51.05259181522952]",3.694717559064234,51.05259181522952
hhld94,HELDENPLEIN,69,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694717559064234, 51.05259181522952]",3.694717559064234,51.05259181522952
hhld95,LUIKLAAN,1,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.694780695763148, 51.05062382425603]",3.694780695763148,51.05062382425603
hhld96,LUIKLAAN,2,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6947426273637993, 51.050634701723006]",3.6947426273637993,51.050634701723006
hhld97,LUIKLAAN,3,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6947047432913207, 51.05064620254614]",3.6947047432913207,51.05064620254614
hhld98,LUIKLAAN,4,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.694666881220562, 51.05065777777463]",3.694666881220562,51.05065777777463
hhld99,LUIKLAAN,5,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6946290191498035, 51.05066935300313]",3.6946290191498035,51.05066935300313
hhld100,LUIKLAAN,6,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6945911570790453, 51.05068092823162]",3.6945911570790453,51.05068092823162
hhld101,LUIKLAAN,7,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6945532950082867, 51.05069250346012]",3.6945532950082867,51.05069250346012
hhld102,LUIKLAAN,8,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6945169801985633, 51.05070811329994]",3.6945169801985633,51.05070811329994
hhld103,LUIKLAAN,9,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6944810871553164, 51.050724822930796]",3.6944810871553164,51.050724822930796
hhld104,LUIKLAAN,10,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6944451941120695, 51.05074153256165]",3.6944451941120695,51.05074153256165
hhld105,LUIKLAAN,11,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6944096404347215, 51.05075878454162]",3.6944096404347215,51.05075878454162
hhld106,LUIKLAAN,12,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6943789184418128, 51.05078375815707]",3.6943789184418128,51.05078375815707
hhld107,LUIKLAAN,13,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6943481964489036, 51.05080873177251]",3.6943481964489036,51.05080873177251
hhld108,LUIKLAAN,14,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.694317474455995, 51.05083370538796]",3.694317474455995,51.05083370538796
hhld109,LUIKLAAN,15,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.694286752463086, 51.05085867900341]",3.694286752463086,51.05085867900341
hhld110,LUIKLAAN,16,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.694256030470177, 51.05088365261886]",3.694256030470177,51.05088365261886
hhld111,LUIKLAAN,17,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.694225308477268, 51.0509086262343]",3.694225308477268,51.0509086262343
hhld112,LUIKLAAN,18,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6941945864843593, 51.05093359984975]",3.6941945864843593,51.05093359984975
hhld113,LUIKLAAN,19,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.69416386449145, 51.0509585734652]",3.69416386449145,51.0509585734652
hhld114,LUIKLAAN,20,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6941343655478107, 51.05098452805058]",3.6941343655478107,51.05098452805058
hhld115,LUIKLAAN,21,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6941166555842306, 51.051019938211645]",3.6941166555842306,51.051019938211645
hhld116,LUIKLAAN,22,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.69409894562065, 51.051055348372714]",3.69409894562065,51.051055348372714
hhld117,LUIKLAAN,23,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.694084674325102, 51.05109219384843]",3.694084674325102,51.05109219384843
hhld118,LUIKLAAN,24,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6940719542204326, 51.05112968679783]",3.6940719542204326,51.05112968679783
hhld119,LUIKLAAN,25,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6940592341157634, 51.05116717974722]",3.6940592341157634,51.05116717974722
hhld120,LUIKLAAN,26,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.694046217658355, 51.05120456895359]",3.694046217658355,51.05120456895359
hhld121,LUIKLAAN,27,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.694032776153014, 51.051241809365116]",3.694032776153014,51.051241809365116
hhld122,LUIKLAAN,28,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.694019334647672, 51.051279049776646]",3.694019334647672,51.051279049776646
hhld123,LUIKLAAN,29,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6940058931423305, 51.051316290188176]",3.6940058931423305,51.051316290188176
hhld124,LUIKLAAN,30,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.693992451636989, 51.051353530599705]",3.693992451636989,51.051353530599705
hhld125,LUIKLAAN,31,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.693979010131647, 51.051390771011235]",3.693979010131647,51.051390771011235
hhld126,LUIKLAAN,32,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.693965568626306, 51.05142801142277]",3.693965568626306,51.05142801142277
hhld127,LUIKLAAN,33,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6939521271209643, 51.0514652518343]",3.6939521271209643,51.0514652518343
hhld128,LUIKLAAN,34,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6939386856156227, 51.05150249224583]",3.6939386856156227,51.05150249224583
hhld129,LUIKLAAN,35,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.693925244110281, 51.05153973265736]",3.693925244110281,51.05153973265736
hhld130,LUIKLAAN,36,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6939118026049393, 51.05157697306889]",3.6939118026049393,51.05157697306889
hhld131,LUIKLAAN,37,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6938983610995977, 51.05161421348042]",3.6938983610995977,51.05161421348042
hhld132,LUIKLAAN,38,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6938849195942565, 51.05165145389196]",3.6938849195942565,51.05165145389196
hhld133,LUIKLAAN,39,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.693871478088915, 51.051688694303486]",3.693871478088915,51.051688694303486
hhld134,LUIKLAAN,40,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.693858036583573, 51.051725934715016]",3.693858036583573,51.051725934715016
hhld135,LUIKLAAN,41,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6938445950782315, 51.051763175126545]",3.6938445950782315,51.051763175126545
hhld136,LUIKLAAN,42,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.693831173906072, 51.05180042276234]",3.693831173906072,51.05180042276234
hhld137,LUIKLAAN,43,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6938181056720083, 51.051837795795066]",3.6938181056720083,51.051837795795066
hhld138,LUIKLAAN,44,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6938050374379445, 51.0518751688278]",3.6938050374379445,51.0518751688278
hhld139,LUIKLAAN,45,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6937919692038808, 51.051912541860524]",3.6937919692038808,51.051912541860524
hhld140,LUIKLAAN,46,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.693778900969817, 51.05194991489326]",3.693778900969817,51.05194991489326
hhld141,LUIKLAAN,47,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.6937658327357537, 51.05198728792598]",3.6937658327357537,51.05198728792598
hhld142,LUIKLAAN,48,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.69375276450169, 51.05202466095871]",3.69375276450169,51.05202466095871
hhld143,LUIKLAAN,49,GENT,Electricity,Malem,1946.5308333333335,Decrease,2019,Regio 1,60,1,"[3.693739696267626, 51.05206203399144]",3.693739696267626,51.05206203399144
